O	date	RS	RA	home/visitor	win/lose/draw	starting:lose/draw/win	day/night	saving_transition			
121	2019/8/28	0	0 	1	2	0.5	1	-6			
122	2019/8/30	1	4 	1	0	1	1	-5			
123	2019/8/31	2	1 	1	0	1	1	-4			
124	2019/9/1	6	8 	1	1	0	1	-5			
125	2019/9/2	2	2 	1	2	0.5	1	-5			
126	2019/9/3	1	5 	0	1	0	1	-6			
127	2019/9/4	2	10 	0	1	0	1	-7			
128	2019/9/5	3	7 	0	1	0	1	-8			
129	2019/9/6	2	6 	1	1	0	1	-9			
130	2019/9/7	7	8 	1	1	0	0	-10			
131	2019/9/8	0	2 	1	1	0	0	-11			
132	2019/9/9	4	6 	1	1	0	1	-12			
133	2019/9/11	4	6 	1	1	0	1	-13			
134	2019/9/14	3	2 	0	0	1	0	-12			
135	2019/9/15	7	1 	0	0	1	0	-11			
136	2019/9/16	2	8 	0	1	0	0	-12			
137	2019/9/18	0	5 	1	1	0	1	-13			
138	2019/9/19	3	4 	1	1	0	1	-14			
139	2019/9/20	1	8 	0	0	1	1	-13			
140	2019/9/21	3	1 	0	0	1	0	-12			
141	2019/9/22	5	6 	0	1	0	0	-13			
142	2019/9/23	0	8 	0	1	0	0	-14			
143	2019/9/24	1	3 	0	1	0	1	-15			
144	2019/9/26	1	4 	1	1	0	1	-16			
145	2019/9/27	5	1 	1	0	1	1	-15			
146	2019/9/28	3	3 	0	2	0.5	1	-15			
147	2019/9/29	5	1 	0	0	1	0	-14			
